// Nombre d'états (#T), de HAPS (#H), de positions envisageables pour le déploiement (#E) de types de communication (#C), d'unités (#U) et de bases (#B)
100, 10, 169, 3, 10, 1

// Altitude de déploiement des HAPS (A)
20

// Nombre de relais par type de communication (R_1, R_2, ...)
4, 4, 4

// Types de communication de chaque unité (C_u)
3
3, 2
2
2, 3
1
2
2
1, 3
3
1

// Types de communication de chaque base (C_b)
1, 2, 3

// Positions des bases (x_b, y_b)
600, 750

// Positions envisageables pour le déploiement d'un HAPS (x_e, y_e)
0, 0
0, 80
0, 160
0, 240
0, 320
0, 400
0, 480
0, 560
0, 640
0, 720
0, 800
0, 880
0, 960
80, 0
80, 80
80, 160
80, 240
80, 320
80, 400
80, 480
80, 560
80, 640
80, 720
80, 800
80, 880
80, 960
160, 0
160, 80
160, 160
160, 240
160, 320
160, 400
160, 480
160, 560
160, 640
160, 720
160, 800
160, 880
160, 960
240, 0
240, 80
240, 160
240, 240
240, 320
240, 400
240, 480
240, 560
240, 640
240, 720
240, 800
240, 880
240, 960
320, 0
320, 80
320, 160
320, 240
320, 320
320, 400
320, 480
320, 560
320, 640
320, 720
320, 800
320, 880
320, 960
400, 0
400, 80
400, 160
400, 240
400, 320
400, 400
400, 480
400, 560
400, 640
400, 720
400, 800
400, 880
400, 960
480, 0
480, 80
480, 160
480, 240
480, 320
480, 400
480, 480
480, 560
480, 640
480, 720
480, 800
480, 880
480, 960
560, 0
560, 80
560, 160
560, 240
560, 320
560, 400
560, 480
560, 560
560, 640
560, 720
560, 800
560, 880
560, 960
640, 0
640, 80
640, 160
640, 240
640, 320
640, 400
640, 480
640, 560
640, 640
640, 720
640, 800
640, 880
640, 960
720, 0
720, 80
720, 160
720, 240
720, 320
720, 400
720, 480
720, 560
720, 640
720, 720
720, 800
720, 880
720, 960
800, 0
800, 80
800, 160
800, 240
800, 320
800, 400
800, 480
800, 560
800, 640
800, 720
800, 800
800, 880
800, 960
880, 0
880, 80
880, 160
880, 240
880, 320
880, 400
880, 480
880, 560
880, 640
880, 720
880, 800
880, 880
880, 960
960, 0
960, 80
960, 160
960, 240
960, 320
960, 400
960, 480
960, 560
960, 640
960, 720
960, 800
960, 880
960, 960

// Poids et puissance maximale de chacun des HAPS (W_h, P_h)
196, 147
157, 171
171, 111
162, 138
185, 101
199, 104
117, 188
171, 125
170, 109
180, 198

// Poids, puissance et portée de chacun des relais de type 1 (w_r, p_r, s_r)
53, 89, 122
80, 90, 112
60, 75, 193
82, 58, 120

// Poids, puissance et portée de chacun des relais de type 2 (w_r, p_r, s_r)
41, 41, 124
64, 44, 89
59, 61, 123
57, 88, 132

// Poids, puissance et portée de chacun des relais de type 3 (w_r, p_r, s_r)
66, 50, 150
42, 65, 184
81, 40, 85
81, 89, 130
